CommitId;RefactoringType;RefactoringDetail
3b1e377f36ce1262cc508b22526e9997cb8dcb62;Extract Interface;Extract Interface	com.facebook.imagepipeline.image.HasImageMetadata from classes [com.facebook.imagepipeline.image.CloseableImage]
42f852dcd260c7be3f49429229c7a98ff46422de;Pull Up Method;Pull Up Method	public scheduleDeferredRelease(releasable Releasable) : void from class com.facebook.drawee.components.DeferredReleaserLegacyImpl to public scheduleDeferredRelease(releasable Releasable) : void from class com.facebook.drawee.components.DeferredReleaser
42f852dcd260c7be3f49429229c7a98ff46422de;Pull Up Method;Pull Up Method	private ensureOnUiThread() : void from class com.facebook.drawee.components.DeferredReleaserLegacyImpl to private ensureOnUiThread() : void from class com.facebook.drawee.components.DeferredReleaser
d30c46b12cab5ddb001c0653164ba51b79c0e0e5;Move Source Folder;Move Source Folder	imagepipeline/src/test to imagepipeline-test/src/main
c34d2f814dacf9c24598c37e18885d5e467dd272;Move Source Folder;Move Source Folder	imagepipeline/src/test to imagepipeline-test/src/main
82439eaeca1df3d411854ec103b9f795b83b3c9f;Extract Class;Extract Class	com.facebook.drawee.components.DeferredReleaserConcurrentImpl.DeferredImpl from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl
82439eaeca1df3d411854ec103b9f795b83b3c9f;Move Attribute;Move Attribute	private mPendingReleasables : ArrayList<Releasable> from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl to private mPendingReleasables : ArrayList<Releasable> from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl.DeferredImpl
82439eaeca1df3d411854ec103b9f795b83b3c9f;Move Attribute;Move Attribute	private releaseRunnable : Runnable from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl to private releaseRunnable : Runnable from class com.facebook.drawee.components.DeferredReleaserConcurrentImpl.DeferredImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Extract Subclass;Extract Subclass	com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Extract Subclass;Extract Subclass	com.facebook.imagepipeline.producers.ThreadHandoffProducerQueueImpl from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	public addToQueueOrExecute(runnable Runnable) : void from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to public addToQueueOrExecute(runnable Runnable) : void from class com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	public startQueueing() : void from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to public startQueueing() : void from class com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	public stopQueuing() : void from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to public stopQueuing() : void from class com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	public remove(runnable Runnable) : void from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to public remove(runnable Runnable) : void from class com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	public isQueueing() : boolean from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to public isQueueing() : boolean from class com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Attribute;Push Down Attribute	private mExecutor : Executor from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to private mExecutor : Executor from class com.facebook.imagepipeline.producers.ExperimentalThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	private execInQueue() : void from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to private execInQueue() : void from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Attribute;Push Down Attribute	private mQueueing : boolean from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to private mQueueing : boolean from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Attribute;Push Down Attribute	private mRunnableList : Deque<Runnable> from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to private mRunnableList : Deque<Runnable> from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueueImpl
dc32d2b28f0bafff4a603011a42e45f6470e2f94;Push Down Method;Push Down Method	public ThreadHandoffProducerQueue(executor Executor) from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue to public ThreadHandoffProducerQueueImpl(executor Executor) from class com.facebook.imagepipeline.producers.ThreadHandoffProducerQueueImpl
017c007b48ed4eabb4c7e63be02bfc22e0a149ee;Extract Method;Extract Method	public fetchDecodedImage(imageRequest ImageRequest, callerContext Object, lowestPermittedRequestLevelOnSubmit ImageRequest.RequestLevel, requestListener RequestListener, uiComponentId String) : DataSource<CloseableReference<CloseableImage>> extracted from public fetchDecodedImage(imageRequest ImageRequest, callerContext Object, lowestPermittedRequestLevelOnSubmit ImageRequest.RequestLevel, requestListener RequestListener) : DataSource<CloseableReference<CloseableImage>> in class com.facebook.imagepipeline.core.ImagePipeline
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Attribute Type;Change Attribute Type	mRequestListener : RequestListener to mRequestListener : RequestListener2 in class com.facebook.imagepipeline.datasource.AbstractProducerToDataSourceAdapter
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Parameter Type;Change Parameter Type	requestListener : RequestListener to requestListener : RequestListener2 in method protected AbstractProducerToDataSourceAdapter(producer Producer<T>, settableProducerContext SettableProducerContext, requestListener RequestListener2) in class com.facebook.imagepipeline.datasource.AbstractProducerToDataSourceAdapter
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Parameter Type;Change Parameter Type	listener : RequestListener to listener : RequestListener2 in method public create(producer Producer<CloseableReference<T>>, settableProducerContext SettableProducerContext, listener RequestListener2) : DataSource<CloseableReference<T>> in class com.facebook.imagepipeline.datasource.CloseableProducerToDataSourceAdapter
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Parameter Type;Change Parameter Type	listener : RequestListener to listener : RequestListener2 in method private CloseableProducerToDataSourceAdapter(producer Producer<CloseableReference<T>>, settableProducerContext SettableProducerContext, listener RequestListener2) in class com.facebook.imagepipeline.datasource.CloseableProducerToDataSourceAdapter
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Parameter Type;Change Parameter Type	listener : RequestListener to listener : RequestListener2 in method public create(producer Producer<T>, settableProducerContext SettableProducerContext, listener RequestListener2) : DataSource<T> in class com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapter
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Parameter Type;Change Parameter Type	listener : RequestListener to listener : RequestListener2 in method private ProducerToDataSourceAdapter(producer Producer<T>, settableProducerContext SettableProducerContext, listener RequestListener2) in class com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapter
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Attribute Type;Change Attribute Type	mRequestListener : RequestListener to mRequestListener : RequestListener2 in class com.facebook.imagepipeline.datasource.CloseableProducerToDataSourceAdapterTest
4f11c2ba7425d0c3531f16424b49645c01dc958b;Change Attribute Type;Change Attribute Type	mRequestListener : RequestListener to mRequestListener : RequestListener2 in class com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Attribute Type;Change Attribute Type	mProducerListener : ProducerListener to mProducerListener : ProducerListener2 in class com.facebook.imagepipeline.producers.AnimatedRepeatedPostprocessorProducerTest
